representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
early_l2_concat,1,0.0001,balanced,0,4,0.8571398529007225,0.4880952380952381,0.6726175454979803
early_l2_concat,1,0.0001,balanced,1,0,0.8682502153930727,0.4761904761904762,0.6722203457917745
early_l2_concat,1,0.0001,balanced,1,1,0.9175037824494346,0.6166666666666666,0.7670852245580506
early_l2_concat,1,0.0001,balanced,1,2,0.8793840398731704,0.6119047619047618,0.7456444008889661
early_l2_concat,1,0.0001,balanced,1,3,0.8720250582750583,0.4404761904761905,0.6562506243756244
early_l2_concat,1,0.0001,balanced,1,4,0.8335373684286729,0.43809523809523815,0.6358163032619555
early_l2_concat,1,0.0001,balanced,2,0,0.8848738298738299,0.6238095238095237,0.7543416768416769
early_l2_concat,1,0.0001,balanced,2,1,0.8692970616340183,0.46904761904761905,0.6691723403408187
early_l2_concat,1,0.0001,balanced,2,2,0.8619949253644906,0.5047619047619049,0.6833784150631977
early_l2_concat,1,0.0001,balanced,2,3,0.8183233433233433,0.4166666666666667,0.617495004995005
early_l2_concat,1,0.0001,balanced,2,4,0.8701303949673516,0.6,0.7350651974836757
early_l2_concat,2,0.001,none,0,0,0.7643877815306387,0.39999999999999997,0.5821938907653194
early_l2_concat,2,0.001,none,0,1,0.8813869644847906,0.4642857142857143,0.6728363393852524
early_l2_concat,2,0.001,none,0,2,0.8922622667187884,0.5166666666666667,0.7044644666927276
early_l2_concat,2,0.001,none,0,3,0.8224833499833499,0.38095238095238093,0.6017178654678654
early_l2_concat,2,0.001,none,0,4,0.8713256127930041,0.4880952380952381,0.6797104254441211
early_l2_concat,2,0.001,none,1,0,0.8541102548245406,0.35000000000000003,0.6020551274122703
early_l2_concat,2,0.001,none,1,1,0.8882961603613777,0.5333333333333333,0.7108147468473556
early_l2_concat,2,0.001,none,1,2,0.8842207430250909,0.5761904761904761,0.7302056096077836
early_l2_concat,2,0.001,none,1,3,0.8611284548784549,0.38095238095238093,0.6210404179154179
early_l2_concat,2,0.001,none,1,4,0.8658122312470138,0.46190476190476193,0.6638584965758878
early_l2_concat,2,0.001,none,2,0,0.8867989417989416,0.569047619047619,0.7279232804232803
early_l2_concat,2,0.001,none,2,1,0.9052904523013219,0.5976190476190476,0.7514547499601847
early_l2_concat,2,0.001,none,2,2,0.8852710695101998,0.4047619047619047,0.6450164871360523
early_l2_concat,2,0.001,none,2,3,0.8001298701298702,0.36904761904761907,0.5845887445887447
early_l2_concat,2,0.001,none,2,4,0.8762651297977385,0.5976190476190476,0.7369420887083931
